,osm_id,name,highway,railway,amenity,operator,parking,surface,tunnel,bridge,smoothness,width,capacity,layer,public_tra,aeroway,building,barrier,oneway,geometry,names,clean_name,clean_name2,genero,_merge
25134,163617226.0,Calle Esmeralda,residential,,,,,,,,,,,,,,,,,"LINESTRING (-76.94566639999999 -12.1439904, -76.944874 -12.143664)",Calle Esmeralda,"['calle', 'esmeralda']",['esmeralda'],f,both
25151,163617265.0,Avenida Micaela Bastidas,residential,,,,,,,,,,,,,,,,,"LINESTRING (-76.938025 -12.1436398, -76.9388136 -12.1438398, -76.939266 -12.1439781)",Avenida Micaela Bastidas,"['avenida', 'micaela', 'bastidas']","['micaela', 'bastidas']",f,both
25158,163617281.0,Jirón Amarilis,residential,,,,,,,,,,,,,,,,,"LINESTRING (-76.9443005 -12.1470065, -76.9446532 -12.1467319, -76.9450903 -12.1463933, -76.94528010000001 -12.1462545, -76.9453377 -12.1462435, -76.9453642 -12.1462691, -76.9453986 -12.1463272, -76.94538180000001 -12.1465565)",Jirón Amarilis,"['jiron', 'amarilis']",['amarilis'],f,both
25175,163617305.0,Avenida Tingo María,residential,,,,,,,,,,,,,,,,,"LINESTRING (-76.9403444 -12.141869, -76.9393432 -12.1416313, -76.93870769999999 -12.1414799, -76.93808129999999 -12.1413318, -76.9371135 -12.1411074, -76.9358385 -12.1408042)",Avenida Tingo María,"['avenida', 'tingo', 'maria']","['tingo', 'maria']",f,both
25241,163629325.0,Santa Rosa,residential,,,,,,,,,,,,,,,,,"LINESTRING (-76.9321097 -12.1692738, -76.9328457 -12.1698156, -76.9328939 -12.1698511)",Santa Rosa,"['santa', 'rosa']","['santa', 'rosa']",f,both
25247,163629335.0,Pasaje Aurora,residential,,,,,asphalt,,,,,,,,,,,,"LINESTRING (-76.9245579 -12.1656146, -76.924412 -12.1658894, -76.92422929999999 -12.1662337, -76.9240226 -12.1666232)",Pasaje Aurora,"['pasaje', 'aurora']",['aurora'],f,both
25360,163632204.0,Jirón Virgen de Lourdes,residential,,,,,asphalt,,,,,,,,,,,,"LINESTRING (-76.9189937 -12.1681974, -76.9187032 -12.1678126, -76.91839330000001 -12.1674796, -76.91825300000001 -12.1674048, -76.9181423 -12.167384, -76.9179678 -12.1673819, -76.9178251 -12.1674016, -76.91774530000001 -12.1674287, -76.9176619 -12.1674709, -76.91749299999999 -12.1675359, -76.9172411 -12.1675864, -76.9166862 -12.1676066, -76.9165307 -12.1676241, -76.9163454 -12.1676658)",Jirón Virgen de Lourdes,"['jiron', 'virgen', 'de', 'lourdes']","['virgen', 'lourdes']",f,both
25386,163637586.0,Pasaje Mercedes Cabello,residential,,,,,ground,,,,,,,,,,,,"LINESTRING (-76.9512249 -12.1746491, -76.9513159 -12.1749225, -76.9514236 -12.1752461)",Pasaje Mercedes Cabello,"['pasaje', 'mercedes', 'cabello']","['mercedes', 'cabello']",f,both
25407,163637618.0,Mercedes Cabello,residential,,,,,asphalt,,,,,,,,,,,,"LINESTRING (-76.9509413 -12.1742594, -76.9509271 -12.1747744, -76.95091859999999 -12.1752806, -76.95091789999999 -12.1757243)",Mercedes Cabello,"['mercedes', 'cabello']","['mercedes', 'cabello']",f,both
25410,163637622.0,Calle Rosa Merino,residential,,,,,asphalt,,,,,,,,,,,,"LINESTRING (-76.9489907 -12.1795463, -76.9496661 -12.1792737, -76.9496911 -12.1792686, -76.94971870000001 -12.1792684, -76.950451 -12.1793823, -76.9509943 -12.1794547)",Calle Rosa Merino,"['calle', 'rosa', 'merino']","['rosa', 'merino']",f,both
25444,163637665.0,Avenida Micaela Bastidas,residential,,,,,asphalt,,,,,,,,,,,,"LINESTRING (-76.9495225 -12.173398, -76.9500037 -12.1734028, -76.9506523 -12.173385, -76.951446 -12.1731099, -76.9524447 -12.172742, -76.95333309999999 -12.1724149, -76.95392390000001 -12.1721972)",Avenida Micaela Bastidas,"['avenida', 'micaela', 'bastidas']","['micaela', 'bastidas']",f,both
25457,163638882.0,Pasaje Sarita Colonia,living_street,,,,,asphalt,,,,,,,,,,,,"LINESTRING (-76.9572537 -12.1641934, -76.9573963 -12.1641309, -76.95810350000001 -12.1638611)",Pasaje Sarita Colonia,"['pasaje', 'sarita', 'colonia']","['sarita', 'colonia']",f,both
25538,163644096.0,Pasaje de Micaela Bastidas,pedestrian,,,,,,,,,,,,,,,,,"LINESTRING (-76.98511790000001 -12.151396, -76.9854344 -12.1518097, -76.98539150000001 -12.1518427, -76.9856862 -12.1522236)",Pasaje de Micaela Bastidas,"['pasaje', 'de', 'micaela', 'bastidas']","['micaela', 'bastidas']",f,both
25653,163717240.0,Calle Doña Margarita,residential,,,,,concrete,,,,,,,,,,,,"LINESTRING (-76.9973012 -12.138593, -76.9981681 -12.1384578, -76.9983245 -12.1384304, -76.9990595 -12.1383016)",Calle Doña Margarita,"['calle', 'doña', 'margarita']","['doña', 'margarita']",f,both
25654,163717241.0,Calle Doña Rosaura,residential,,,,,concrete,,,,,,,,,,,yes,"LINESTRING (-76.9990069 -12.1400296, -76.99890670000001 -12.1398801, -76.9988566 -12.1397974, -76.9988097 -12.1397083, -76.99875040000001 -12.1395834, -76.9987117 -12.1394877, -76.99867949999999 -12.1394007, -76.99864599999999 -12.1392874, -76.9986206 -12.1391814, -76.9986092 -12.1391158, -76.9986043 -12.1390534)",Calle Doña Rosaura,"['calle', 'doña', 'rosaura']","['doña', 'rosaura']",f,both
25656,163717243.0,Calle Doña Esperanza,residential,,,,,concrete,,,,,,,,,,,yes,"LINESTRING (-76.99801650000001 -12.1391629, -76.9981676 -12.139694, -76.9983414 -12.1400336, -76.9985372 -12.1403449)",Calle Doña Esperanza,"['calle', 'doña', 'esperanza']","['doña', 'esperanza']",f,both
25659,163717246.0,Calle Doña Cecilia,residential,,,,,concrete,,,,,,,,,,,,"LINESTRING (-76.9969165 -12.1361572, -76.9970426 -12.1362348, -76.99710640000001 -12.136274, -76.9971939 -12.1363339, -76.99728229999999 -12.1364025, -76.9973529 -12.1364683, -76.9974091 -12.1365317, -76.9974631 -12.1366011, -76.99751809999999 -12.1366847, -76.99756069999999 -12.1367575, -76.997598 -12.1368426, -76.99762610000001 -12.1369199, -76.9976413 -12.1369811, -76.9976583 -12.1370725, -76.9976729 -12.1371734)",Calle Doña Cecilia,"['calle', 'doña', 'cecilia']","['doña', 'cecilia']",f,both
25660,163717247.0,Calle Doña Marcela,residential,,,,,concrete,,,,,,,,,,,,"LINESTRING (-76.9975747 -12.1351833, -76.9975402 -12.1352343, -76.9972416 -12.1356778, -76.9969165 -12.1361572, -76.9966356 -12.1365881, -76.9965952 -12.1366453)",Calle Doña Marcela,"['calle', 'doña', 'marcela']","['doña', 'marcela']",f,both
