,osm_id,name,highway,railway,amenity,operator,parking,surface,tunnel,bridge,smoothness,width,capacity,layer,public_tra,aeroway,building,barrier,oneway,geometry,names,clean_name,clean_name2,genero,_merge
4470,49426555.0,Avenida La Marina,primary,,,,,asphalt,,,,,,,,,,,yes,"LINESTRING (-77.1149719 -12.0681125, -77.1149022 -12.0681399, -77.1135238 -12.0686802, -77.11327540000001 -12.0687777, -77.1122677 -12.0691633, -77.110103 -12.0700113, -77.10978230000001 -12.0701443, -77.1096919 -12.070182, -77.1095962 -12.0702209)",Avenida La Marina,"['avenida', 'la', 'marina']",['marina'],f,both
4569,49884085.0,Pasaje Chabuca Granda,pedestrian,,,,,concrete,,,,,,,,,,,,"LINESTRING (-77.02162559999999 -12.1495342, -77.0222086 -12.1493709)",Pasaje Chabuca Granda,"['pasaje', 'chabuca', 'granda']","['chabuca', 'granda']",f,both
4579,50219330.0,Zoila Amoretti,residential,,,,,concrete,,,,,,,,,,,yes,"LINESTRING (-77.06527440000001 -12.0798895, -77.0652484 -12.0799028, -77.0650156 -12.0799549, -77.06491200000001 -12.079978, -77.0647081 -12.0800209, -77.06467499999999 -12.0800278, -77.0642589 -12.0801335, -77.06416110000001 -12.0801723, -77.0640394 -12.0802163, -77.0638912 -12.0803042, -77.0637547 -12.0803961, -77.0634536 -12.0806364, -77.0627113 -12.0812059, -77.0626597 -12.0812469, -77.0624499 -12.0814139, -77.0624017 -12.0814523)",Zoila Amoretti,"['zoila', 'amoretti']","['zoila', 'amoretti']",f,both
4585,50219660.0,Zoila Amoretti,residential,,,,,,,,,,,,,,,,yes,"LINESTRING (-77.0624017 -12.0814523, -77.0623629 -12.0814045, -77.0622922 -12.0813174, -77.0620984 -12.0810787, -77.0618789 -12.0808083, -77.0615853 -12.0804468, -77.0615792 -12.0804392, -77.0615761 -12.0804071)",Zoila Amoretti,"['zoila', 'amoretti']","['zoila', 'amoretti']",f,both
4597,50294726.0,Santa Martha,residential,,,,,,,,,,,,,,,,yes,"LINESTRING (-77.06712520000001 -12.0814697, -77.06820070000001 -12.0810863, -77.0682747 -12.0810599, -77.0683262 -12.0810434, -77.06839909999999 -12.0810398, -77.0684753 -12.0810526, -77.0685525 -12.08108, -77.06861240000001 -12.0811203, -77.0686647 -12.0811722, -77.0687097 -12.0812428, -77.068749 -12.0813226, -77.068793 -12.0814506)",Santa Martha,"['santa', 'martha']","['santa', 'martha']",f,both
4598,50295624.0,Santa Cecilia,residential,,,,,asphalt,,,,,,,,,,,,"LINESTRING (-77.0677051 -12.0818407, -77.0680823 -12.0826873)",Santa Cecilia,"['santa', 'cecilia']","['santa', 'cecilia']",f,both
4602,50299538.0,Coral,residential,,,,,,,,,,,,,,,,,"LINESTRING (-77.0676831 -12.0799481, -77.0674363 -12.0802848, -77.067387 -12.0803208, -77.06732719999999 -12.0803445, -77.0671902 -12.0803922)",Coral,['coral'],['coral'],f,both
4633,50978494.0,Calle Angela Podesta Peschiera,residential,,,,,,,,,,,,,,,,,"LINESTRING (-77.0752012 -12.0785052, -77.0755381 -12.0784216, -77.0757064 -12.0783793, -77.0758665 -12.0783395, -77.0763573 -12.0782189, -77.0766282 -12.0781521, -77.0768283 -12.0781196, -77.0768874 -12.0781134, -77.0769356 -12.0781112)",Calle Angela Podesta Peschiera,"['calle', 'angela', 'podesta', 'peschiera']","['angela', 'podesta', 'peschiera']",f,both
4658,50979229.0,Jirón Josefina Ramos de Cox,residential,,,,,,,,,,,,,,,,,"LINESTRING (-77.08748509999999 -12.0748488, -77.0873697 -12.0748946, -77.0870979 -12.0750024, -77.0867922 -12.0751126, -77.0864232 -12.0752481, -77.08569249999999 -12.0754325)",Jirón Josefina Ramos de Cox,"['jiron', 'josefina', 'ramos', 'de', 'cox']","['josefina', 'ramos', 'cox']",f,both
4686,51770899.0,Arnaldo Panizo,residential,,,,,,,,,,,,,,,,,"LINESTRING (-77.07039399999999 -12.0767588, -77.0708405 -12.0766206, -77.07136629999999 -12.076459, -77.0713837 -12.0764536, -77.0720537 -12.0762498, -77.0727108 -12.0760623, -77.0727229 -12.0760586, -77.0732742 -12.0758902)",Arnaldo Panizo,"['arnaldo', 'panizo']","['arnaldo', 'panizo']",f,both
4689,51770960.0,Parque Santa Maria,residential,,,,,,,,,,,,,,,,,"LINESTRING (-77.0709809 -12.0751467, -77.07111500000001 -12.0755818, -77.0711708 -12.0757628, -77.0711907 -12.0758275, -77.07126220000001 -12.0760593, -77.0713837 -12.0764536)",Parque Santa Maria,"['parque', 'santa', 'maria']","['parque', 'santa', 'maria']",f,both
4690,51771010.0,Parque Santa María Magdalena,residential,,,,,,,,,,,,,,,,,"LINESTRING (-77.0708405 -12.0766206, -77.07075210000001 -12.0761727, -77.0707057 -12.0759374, -77.0706521 -12.0756656, -77.0705707 -12.0752532)",Parque Santa María Magdalena,"['parque', 'santa', 'maria', 'magdalena']","['parque', 'santa', 'maria', 'magdalena']",f,both
4693,51771480.0,Santa Fe,residential,,,,,,,,,,,,,,,,,"LINESTRING (-77.0695535 -12.075701, -77.0689529 -12.0758878, -77.0687369 -12.075957, -77.0686276 -12.0759807, -77.0685385 -12.0759966, -77.0683246 -12.0760122, -77.06773750000001 -12.0760473, -77.0672555 -12.0760757, -77.0667639 -12.0760835, -77.06590009999999 -12.0760972)",Santa Fe,"['santa', 'fe']","['santa', 'fe']",f,both
4697,51771979.0,Santa Lucia,residential,,,,,,,,,,,,,,,,,"LINESTRING (-77.0659173 -12.0767352, -77.06590009999999 -12.0760972, -77.06589459999999 -12.0755385)",Santa Lucia,"['santa', 'lucia']","['santa', 'lucia']",f,both
4821,53399241.0,La Perla,residential,,,,,,,,,,,,,,,,,"LINESTRING (-77.07655250000001 -11.9862178, -77.0769409 -11.9859585, -77.0773823 -11.9857171, -77.0777441 -11.9855192, -77.0782171 -11.9852935)",La Perla,"['la', 'perla']",['perla'],f,both
4878,53787290.0,Jirón Villa Mercedes,residential,,,,,asphalt,,,,,,,,,,,,"LINESTRING (-77.0164142 -12.1539909, -77.0162479 -12.1537422)",Jirón Villa Mercedes,"['jiron', 'villa', 'mercedes']","['villa', 'mercedes']",f,both
4891,53787305.0,Santa Rosa,residential,,,,,asphalt,,,,,,,,,,,,"LINESTRING (-77.0154603 -12.1544596, -77.01530339999999 -12.1542128, -77.01507839999999 -12.1538309, -77.0147944 -12.1533354, -77.0145871 -12.1528645)",Santa Rosa,"['santa', 'rosa']","['santa', 'rosa']",f,both
4898,53787314.0,María Parado de Bellido,residential,,,,,asphalt,,,,,,,,,,,,"LINESTRING (-77.0146132 -12.1485006, -77.01458220000001 -12.1485557, -77.01453429999999 -12.1486253, -77.0144588 -12.1487232, -77.0141981 -12.1489885, -77.0138997 -12.1491893, -77.0138079 -12.1492355, -77.0135825 -12.1493531, -77.01348539999999 -12.1494057, -77.0133987 -12.1494499, -77.0133652 -12.149466, -77.0133367 -12.1494799, -77.0132486 -12.1495174, -77.0131311 -12.1495642, -77.0130479 -12.1495994, -77.0130044 -12.1496189)",María Parado de Bellido,"['maria', 'parado', 'de', 'bellido']","['maria', 'parado', 'bellido']",f,both
4931,53833393.0,Clorinda Matto de Turner,pedestrian,,,,,,,,,,,,,,,,,"LINESTRING (-77.0581802 -12.0525611, -77.0583543 -12.0524963, -77.05866570000001 -12.0523806, -77.058778 -12.0523387, -77.0590337 -12.0522435, -77.0591369 -12.0522055, -77.0592406 -12.0521663, -77.0594751 -12.0520785, -77.0595845 -12.0520306)",Clorinda Matto de Turner,"['clorinda', 'matto', 'de', 'turner']","['clorinda', 'matto', 'turner']",f,both
4933,53833396.0,Clorinda Matto de Turner,pedestrian,,,,,,,,,,,,,,,,,"LINESTRING (-77.0599208 -12.0515567, -77.0594517 -12.0517298, -77.0591053 -12.0518576, -77.05897969999999 -12.0519039, -77.05889500000001 -12.0519352, -77.05862930000001 -12.0520332, -77.05853020000001 -12.0520712, -77.0582192 -12.0521845, -77.0580515 -12.0522464)",Clorinda Matto de Turner,"['clorinda', 'matto', 'de', 'turner']","['clorinda', 'matto', 'turner']",f,both
4948,54609954.0,Clorinda Malto,residential,,,,,,,,,,,,,,,,,"LINESTRING (-77.06248960000001 -12.0494913, -77.06220329999999 -12.0495763, -77.0619323 -12.0496799, -77.0618633 -12.0497128, -77.0615086 -12.0498563)",Clorinda Malto,"['clorinda', 'malto']","['clorinda', 'malto']",f,both
4962,54609975.0,Pasaje Santa Rosa,residential,,,,,,,,,,,,,,,,,"LINESTRING (-77.0651759 -12.0518448, -77.06533690000001 -12.0523167)",Pasaje Santa Rosa,"['pasaje', 'santa', 'rosa']","['santa', 'rosa']",f,both
4992,55446861.0,Elvira García y Gracía,residential,,,,,concrete,,,,,,,,,,,,"LINESTRING (-77.0709658 -12.0529185, -77.07071550000001 -12.0528878, -77.0696751 -12.0527784, -77.06932279999999 -12.0527408, -77.0691187 -12.0527192)",Elvira García y Gracía,"['elvira', 'garcia', 'y', 'gracia']","['elvira', 'garcia', 'gracia']",f,both
5010,55489833.0,Elvira García y García,residential,,,,,asphalt,,,,,,,,,,,,"LINESTRING (-77.0709658 -12.0529185, -77.07106020000001 -12.0529614, -77.07153030000001 -12.053006, -77.0719974 -12.0530631, -77.0725782 -12.053103, -77.0730003 -12.0530852, -77.07335689999999 -12.0530176, -77.07356230000001 -12.0529253, -77.0740737 -12.0527579, -77.0742156 -12.0526938, -77.0743394 -12.0526475)",Elvira García y García,"['elvira', 'garcia', 'y', 'garcia']","['elvira', 'garcia', 'garcia']",f,both
5347,68172439.0,Calle Santa Mónica,residential,,,,,,,,,,,,,,,,,"LINESTRING (-77.00246730000001 -12.0234786, -77.0053636 -12.0231721)",Calle Santa Mónica,"['calle', 'santa', 'monica']","['santa', 'monica']",f,both
5349,68172447.0,Calle Santa Amelia,residential,,,,,,,,,,,,,,,,,"LINESTRING (-77.0042376 -12.0206979, -77.0039192 -12.0206254, -77.0036569 -12.0205592, -77.0035176 -12.0205225, -77.00336470000001 -12.0204598, -77.0032144 -12.0203935, -77.0031068 -12.0203502, -77.00285030000001 -12.0201363, -77.0027479 -12.0200634, -77.0026659 -12.019987, -77.0026113 -12.0199244, -77.0025617 -12.0198605, -77.00243620000001 -12.0196719, -77.0023307 -12.0195169, -77.0023044 -12.0194837, -77.0021113 -12.0192506, -77.0020359 -12.0191707, -77.0019291 -12.019099, -77.001839 -12.0190511, -77.0016457 -12.0189669)",Calle Santa Amelia,"['calle', 'santa', 'amelia']","['santa', 'amelia']",f,both
5351,68172456.0,Avenida Santa Luisa,residential,,,,,asphalt,,,,,,,,,,,,"LINESTRING (-77.005267 -12.0226141, -77.0049913 -12.0221852, -77.0044656 -12.0213268, -77.0043199 -12.0210783, -77.0042675 -12.0209494, -77.0042471 -12.0208135, -77.0042376 -12.0206979, -77.0042907 -12.020273)",Avenida Santa Luisa,"['avenida', 'santa', 'luisa']","['santa', 'luisa']",f,both
5352,68173627.0,Calle Las Mercedes,residential,,,,,,,,,,,,,,,,,"LINESTRING (-77.0020351 -12.0201371, -77.0014558 -12.0202251, -77.00025549999999 -12.020371, -77.00022420000001 -12.0203753, -76.99998410000001 -12.0204086, -76.9995634 -12.0204668, -76.9992774 -12.020506, -76.9992007 -12.0205415, -76.99913220000001 -12.0205787, -76.9990626 -12.0206316, -76.99897350000001 -12.020705, -76.9989126 -12.0207658, -76.99883730000001 -12.020815, -76.99876690000001 -12.0208281, -76.9986914 -12.0208227, -76.9985722 -12.0207961, -76.997924 -12.0205951)",Calle Las Mercedes,"['calle', 'las', 'mercedes']",['mercedes'],f,both
5630,68335668.0,Jirón Agua Marina,residential,,,,,asphalt,,,,,,,,,,,,"LINESTRING (-77.01013810000001 -11.9948055, -77.0095249 -11.9946305, -77.0092532 -11.9945244, -77.00883279999999 -11.9942971, -77.00870310000001 -11.994227, -77.00820520000001 -11.9939579, -77.00798500000001 -11.9938344, -77.00706049999999 -11.993343, -77.0069587 -11.9932889, -77.0065252 -11.9930635, -77.0061839 -11.9928702, -77.00576820000001 -11.9926569, -77.0053796 -11.992631)",Jirón Agua Marina,"['jiron', 'agua', 'marina']","['agua', 'marina']",f,both
5742,68523732.0,Jirón Agua Marina,residential,,,,,,,,,,,,,,,,,"LINESTRING (-77.0023286 -11.9927384, -77.0013209 -11.9926961)",Jirón Agua Marina,"['jiron', 'agua', 'marina']","['agua', 'marina']",f,both
5763,68524919.0,Santa Sofia,residential,,,,,asphalt,,,,,,,,,,,,"LINESTRING (-77.00152370000001 -11.9884794, -77.0015095 -11.9884416, -77.0014357 -11.988246, -77.00131570000001 -11.9879278, -77.00096360000001 -11.986994, -77.00089180000001 -11.9867995)",Santa Sofia,"['santa', 'sofia']","['santa', 'sofia']",f,both
5771,68524931.0,Jirón Santa Ursula,residential,,,,,unpaved,,,,,,,,,,,,"LINESTRING (-77.002146 -11.9915046, -77.0020751 -11.9913109)",Jirón Santa Ursula,"['jiron', 'santa', 'ursula']","['santa', 'ursula']",f,both
5775,68524935.0,Calle Santa María,residential,,,,,asphalt,,,,,,,,,,,,"LINESTRING (-76.999826 -11.9867447, -76.9998619 -11.9868501, -76.9999748 -11.9871429, -77.00013730000001 -11.9875459, -77.00026029999999 -11.9878675, -77.00034549999999 -11.9880903, -77.0006314 -11.988838, -77.00079529999999 -11.9892738, -77.0009613 -11.9897081, -77.0011373 -11.9901483, -77.0012971 -11.9905815)",Calle Santa María,"['calle', 'santa', 'maria']","['santa', 'maria']",f,both
5784,68526688.0,Avenida Santa Rosa de Lima,secondary,,,,,asphalt,,,,,,,,,,,yes,"LINESTRING (-77.0009405 -11.9630002, -77.0008509 -11.9630572, -77.0007755 -11.9631046, -77.00047790000001 -11.9632916, -77.00043530000001 -11.9633184, -77.000241 -11.9634297, -77.0001154 -11.9635058, -77.0000323 -11.9635677, -76.99953309999999 -11.96401, -76.9994368 -11.9640905, -76.9993786 -11.96415, -76.9993624 -11.9641665, -76.9992725 -11.9642599, -76.9991519 -11.9643907, -76.9990526 -11.9644899, -76.9981954 -11.9652302, -76.9979878 -11.9654094, -76.9970392 -11.9662276, -76.99694839999999 -11.9663059, -76.9965973 -11.966599, -76.9965412 -11.9666458, -76.99643880000001 -11.9667301, -76.99639689999999 -11.966767, -76.9954046 -11.9676419, -76.99463009999999 -11.9683199, -76.9945701 -11.9683724, -76.9942892 -11.9686248, -76.994253 -11.9686579, -76.9941723 -11.9687316, -76.9940886 -11.9687817)",Avenida Santa Rosa de Lima,"['avenida', 'santa', 'rosa', 'de', 'lima']","['santa', 'rosa', 'lima']",f,both
5785,68526689.0,Avenida Santa Rosa de Lima,secondary,,,,,asphalt,,,,,,,,,,,yes,"LINESTRING (-76.9960681 -11.9879812, -76.995941 -11.9875837, -76.9955763 -11.9865088, -76.9955528 -11.9864561, -76.99545759999999 -11.9862942, -76.9949123 -11.9855126, -76.994597 -11.9850503, -76.994384 -11.9847518, -76.99425890000001 -11.984586, -76.9938166 -11.9839557, -76.99373660000001 -11.9837426, -76.9937049 -11.9836388, -76.99367890000001 -11.9835817, -76.99365160000001 -11.9835184, -76.9935093 -11.9832871, -76.99345479999999 -11.9831986, -76.993325 -11.9830213, -76.99312740000001 -11.9827514, -76.9930664 -11.9826539, -76.9929589 -11.9824824, -76.9928228 -11.9822651, -76.9926109 -11.9818817, -76.9924816 -11.9816072, -76.99233839999999 -11.9812724, -76.99222330000001 -11.9809723, -76.99216060000001 -11.980792, -76.99209860000001 -11.9806098, -76.99205019999999 -11.9804199, -76.9920121 -11.9802409, -76.99195520000001 -11.9799812, -76.99191039999999 -11.9796964, -76.99187310000001 -11.9794457, -76.9918291 -11.9788817)",Avenida Santa Rosa de Lima,"['avenida', 'santa', 'rosa', 'de', 'lima']","['santa', 'rosa', 'lima']",f,both
5857,68540169.0,Rio Santa Fe,residential,,,,,asphalt,,,,,,,,,,,,"LINESTRING (-77.0007555 -11.9761, -77.0001956 -11.9768733, -76.9995917 -11.9777032, -76.9989916 -11.9785304, -76.9986577 -11.9789762, -76.9985586 -11.9790918, -76.9984381 -11.9792044, -76.9982306 -11.9793823)",Rio Santa Fe,"['rio', 'santa', 'fe']","['rio', 'santa', 'fe']",f,both
5897,68551970.0,Rio Santa Martha,residential,,,,,asphalt,,,,,,,,,,,,"LINESTRING (-76.999577 -11.9669261, -76.99819170000001 -11.9673049, -76.9980863 -11.9673437, -76.9979594 -11.9674228, -76.99777589999999 -11.9675462, -76.99734909999999 -11.9678341)",Rio Santa Martha,"['rio', 'santa', 'martha']","['rio', 'santa', 'martha']",f,both
5904,68551997.0,Rio Santa,residential,,,,,asphalt,,,,,,,,,,,,"LINESTRING (-76.99884609999999 -11.9691198, -76.9983683 -11.9683946, -76.9983422 -11.968355, -76.9980496 -11.9679465, -76.99777589999999 -11.9675462, -76.9975057 -11.9671352, -76.9972332 -11.9667316, -76.99694839999999 -11.9663059)",Rio Santa,"['rio', 'santa']","['rio', 'santa']",f,both
5932,68554754.0,Rio Santa Martha,residential,,,,,,,,,,,,,,,,,"LINESTRING (-76.99692140000001 -11.9683077, -76.9965485 -11.968646, -76.9958457 -11.9692736, -76.99547630000001 -11.9695853)",Rio Santa Martha,"['rio', 'santa', 'martha']","['rio', 'santa', 'martha']",f,both
5943,68556497.0,Rio Santa Martha,residential,,,,,,,,,,,,,,,,,"LINESTRING (-77.0018609 -11.9659638, -77.0014465 -11.9662647, -77.0009819 -11.9665104, -77.0001443 -11.9670127)",Rio Santa Martha,"['rio', 'santa', 'martha']","['rio', 'santa', 'martha']",f,both
5973,68675839.0,Libertad,residential,,,,,,,,,,,,,,,,,"LINESTRING (-76.9662818 -12.0183002, -76.9658178 -12.0194061, -76.96531280000001 -12.0205841)",Libertad,['libertad'],['libertad'],f,both
6039,68849041.0,Santa Rosa,residential,,,,,,,,,,,,,,,,,"LINESTRING (-77.045542 -12.028702, -77.04607059999999 -12.0282593, -77.046516 -12.0278861, -77.04664510000001 -12.027778, -77.0469428 -12.0275287, -77.0475326 -12.0270348, -77.0479795 -12.0266926, -77.0486952 -12.0261175)",Santa Rosa,"['santa', 'rosa']","['santa', 'rosa']",f,both
6101,68856674.0,La Victoria,residential,,,,,,,,,,,,,,,,,"LINESTRING (-77.0525856 -12.0320509, -77.0524836 -12.031831, -77.0524259 -12.0316489, -77.0524198 -12.0316147, -77.0524192 -12.0315833, -77.0524332 -12.0314848, -77.05245410000001 -12.0313453, -77.052537 -12.0306259, -77.0525322 -12.0306097, -77.0525947 -12.0298861, -77.05260010000001 -12.0297863)",La Victoria,"['la', 'victoria']",['victoria'],f,both
6107,68856682.0,Jirón Alicia Alarcon,residential,,,,,,,,,,,,,,,,,"LINESTRING (-77.05192479999999 -12.0297216, -77.0518991 -12.0299965, -77.0517954 -12.0323362, -77.05181380000001 -12.0324144, -77.0519953 -12.0327744, -77.0522229 -12.0332498, -77.0524209 -12.0336602)",Jirón Alicia Alarcon,"['jiron', 'alicia', 'alarcon']","['alicia', 'alarcon']",f,both
6148,68860881.0,Florencia,residential,,,,,paved,,,,,,,,,,,,"LINESTRING (-77.0564572 -12.010088, -77.0562845 -12.010535, -77.056136 -12.0108216, -77.05606160000001 -12.0109166, -77.0557833 -12.0112449)",Florencia,['florencia'],['florencia'],f,both
6188,68864316.0,María Parado de Bellido,residential,,,,,,,,,,,,,,,,,"LINESTRING (-77.0525037 -12.0048345, -77.0526555 -12.0048661, -77.0527036 -12.0048754, -77.05408850000001 -12.0051421)",María Parado de Bellido,"['maria', 'parado', 'de', 'bellido']","['maria', 'parado', 'bellido']",f,both
6232,70188181.0,Calle Margarita,residential,,,,,,,,,,,,,,,,,"LINESTRING (-77.133894 -12.0488019, -77.1338504 -12.0490296, -77.13383109999999 -12.0491255, -77.13377180000001 -12.0494429)",Calle Margarita,"['calle', 'margarita']",['margarita'],f,both
6243,70196482.0,Avenida Micaela Bastidas,secondary,,,,,concrete,,,,,,,,,,,yes,"LINESTRING (-77.0311445 -11.9053291, -77.0312361 -11.9052883, -77.03134849999999 -11.9052381, -77.03152350000001 -11.90516, -77.0316644 -11.9050943, -77.0317884 -11.9050313, -77.0319137 -11.9049538)",Avenida Micaela Bastidas,"['avenida', 'micaela', 'bastidas']","['micaela', 'bastidas']",f,both
6294,70606457.0,Pasaje Santa Rosa,residential,,,,,,,,,,,,,,,,,"LINESTRING (-77.09189069999999 -12.0424142, -77.0911811 -12.0420423)",Pasaje Santa Rosa,"['pasaje', 'santa', 'rosa']","['santa', 'rosa']",f,both
6380,70639513.0,Avenida María Parado de Bellido,residential,,,,,concrete,,,,,,,,,,,,"LINESTRING (-77.0351373 -11.8982145, -77.0348697 -11.8984443, -77.0344544 -11.8988009, -77.0341189 -11.899089, -77.0339982 -11.8992014, -77.0339082 -11.8992915, -77.033817 -11.8993853, -77.0336764 -11.899538, -77.03354400000001 -11.8997026)",Avenida María Parado de Bellido,"['avenida', 'maria', 'parado', 'de', 'bellido']","['maria', 'parado', 'bellido']",f,both
6404,70646982.0,Isis,residential,,,,,,,,,,,,,,,,,"LINESTRING (-77.0702909 -11.992302, -77.07036100000001 -11.9923319, -77.0703824 -11.9923547, -77.0703879 -11.9923843, -77.07037390000001 -11.9926484, -77.0703748 -11.9926595, -77.070409 -11.9930623, -77.0705227 -11.9933925)",Isis,['isis'],['isis'],f,both
6417,70649210.0,Calle Arco Iris,residential,,,,,,,,,,,,,,,,,"LINESTRING (-77.0650701 -11.9985304, -77.06427119999999 -11.9988107)",Calle Arco Iris,"['calle', 'arco', 'iris']","['arco', 'iris']",f,both
6422,70649215.0,Avenida Angélica Gamarra,secondary,,,,,asphalt,,,,,,,,,,,yes,"LINESTRING (-77.0626834 -12.0043377, -77.0627405 -12.0043703, -77.0628117 -12.004402, -77.0628689 -12.0044196, -77.06297619999999 -12.0044331, -77.0630269 -12.004441, -77.0634768 -12.0045105, -77.0638446 -12.0045677, -77.0639293 -12.0045808, -77.0655127 -12.0048271, -77.0660137 -12.0049135, -77.0661504 -12.0049357, -77.0665685 -12.0050037, -77.06664720000001 -12.0050165, -77.0669099 -12.0050624, -77.06813889999999 -12.0052414, -77.06821410000001 -12.0052515, -77.06867990000001 -12.005319, -77.0691628 -12.0053919, -77.06944350000001 -12.0054352, -77.0696069 -12.0054603, -77.0696992 -12.0054745, -77.0700731 -12.0055321, -77.0704266 -12.0055865, -77.0708887 -12.0056569, -77.071522 -12.005757, -77.0715817 -12.0057664, -77.0716994 -12.005785, -77.0717571 -12.0057941, -77.071922 -12.0058202, -77.07251789999999 -12.0059131, -77.07302799999999 -12.0059915, -77.07361520000001 -12.0060818, -77.0738542 -12.0061185, -77.0741314 -12.0061611, -77.07470240000001 -12.0062229, -77.0749225 -12.0063261)",Avenida Angélica Gamarra,"['avenida', 'angelica', 'gamarra']","['angelica', 'gamarra']",f,both
6453,70651805.0,Mama Ocllo,residential,,,,,,,,,,,,,,,,,"LINESTRING (-77.0680466 -12.002784, -77.0680904 -12.0026391, -77.0681 -12.0026177, -77.06811620000001 -12.0025988, -77.0684637 -12.0023375, -77.06852790000001 -12.0023215, -77.06867099999999 -12.0023293, -77.06892879999999 -12.0023704, -77.0690903 -12.0024183)",Mama Ocllo,"['mama', 'ocllo']","['mama', 'ocllo']",f,both
6457,70652087.0,Avenida Angélica Gamarra,secondary,,,,,asphalt,,,,,,,,,,,yes,"LINESTRING (-77.0821093 -12.0068509, -77.08208639999999 -12.006806, -77.0820581 -12.0067788, -77.0820258 -12.0067614, -77.08116 -12.0067053, -77.0806565 -12.006682, -77.08043739999999 -12.0066691, -77.0789322 -12.0065817, -77.07769140000001 -12.0065136, -77.077568 -12.0065056, -77.07695270000001 -12.0064745, -77.0767226 -12.0064728, -77.07647710000001 -12.0064763, -77.07640139999999 -12.0064813, -77.0763391 -12.0064855, -77.07581020000001 -12.0065206, -77.0756346 -12.0065302, -77.0751686 -12.0065555, -77.0749624 -12.006552, -77.0748203 -12.0065493, -77.0746128 -12.0065326, -77.0743947 -12.0065051, -77.0739164 -12.0064392, -77.07303570000001 -12.006301, -77.07171150000001 -12.0061047, -77.07165259999999 -12.006096, -77.0715333 -12.0060767, -77.07147380000001 -12.006068, -77.0710423 -12.0060047, -77.07007400000001 -12.0058638, -77.0696512 -12.0058005, -77.0695916 -12.0057916, -77.069461 -12.0057721, -77.0693948 -12.0057622, -77.06849990000001 -12.0056261, -77.0680843 -12.0055641, -77.0680176 -12.0055536, -77.06755750000001 -12.0054809, -77.0670863 -12.0054109, -77.0663382 -12.0053007, -77.0660275 -12.005255, -77.06560039999999 -12.0051884, -77.06379029999999 -12.004918, -77.06353439999999 -12.0048798, -77.06304 -12.0048026, -77.06296829999999 -12.0047942, -77.0629199 -12.0047875, -77.0628243 -12.0047867, -77.06274569999999 -12.004798, -77.06266960000001 -12.004816, -77.06265139999999 -12.0048203, -77.06253599999999 -12.0048724)",Avenida Angélica Gamarra,"['avenida', 'angelica', 'gamarra']","['angelica', 'gamarra']",f,both
6477,70652804.0,Micaela Bastidas,residential,,,,,asphalt,,,,,,,,,,,,"LINESTRING (-77.0662576 -12.0069597, -77.0661793 -12.0074172, -77.0661071 -12.0078691, -77.0660601 -12.0081295, -77.06602650000001 -12.0083049, -77.0660041 -12.0084056, -77.065926 -12.0086494, -77.0657532 -12.00916, -77.06571719999999 -12.0092705)",Micaela Bastidas,"['micaela', 'bastidas']","['micaela', 'bastidas']",f,both
6519,70661652.0,Agua Marina,residential,,,,,,,,,,,,,,,,,"LINESTRING (-77.0772577 -11.9909289, -77.0772123 -11.9902688, -77.0771611 -11.9895256, -77.07712840000001 -11.9890502)",Agua Marina,"['agua', 'marina']","['agua', 'marina']",f,both
6575,70677427.0,Santa Rosa,living_street,,,,,,,,,,,,,,,,,"LINESTRING (-77.07732799999999 -11.9800937, -77.0767549 -11.9801482, -77.0761811 -11.9802043, -77.0756064 -11.9802574, -77.07499180000001 -11.9803184)",Santa Rosa,"['santa', 'rosa']","['santa', 'rosa']",f,both
6620,70810351.0,Villa Libertad,residential,,,,,asphalt,,,,,,,,,,,,"LINESTRING (-77.0781877 -12.0124754, -77.0782153 -12.0123171, -77.07823930000001 -12.0121971, -77.07830509999999 -12.0118036, -77.07835900000001 -12.0114889, -77.0784159 -12.0111821, -77.078467 -12.010876, -77.0785175 -12.0105476, -77.0785759 -12.0101903, -77.0786289 -12.009887, -77.0786808 -12.0095828, -77.07872690000001 -12.0093056, -77.07875900000001 -12.0089639)",Villa Libertad,"['villa', 'libertad']","['villa', 'libertad']",f,both
6621,70810352.0,Santa Rosa,residential,,,,,,,,,,,,,,,,,"LINESTRING (-77.0811027 -12.0097349, -77.0806152 -12.0094572, -77.0801527 -12.009247, -77.0796915 -12.0090472, -77.07875900000001 -12.0089639)",Santa Rosa,"['santa', 'rosa']","['santa', 'rosa']",f,both
6739,70828137.0,Avenida Santa Rosa,tertiary,,,,,asphalt,,,,,,,,,,,,"LINESTRING (-77.10251239999999 -11.9995979, -77.10283 -12.0001034, -77.1031823 -12.0006641, -77.10332409999999 -12.0008898, -77.1034173 -12.0010548, -77.10368630000001 -12.0015333, -77.1037615 -12.0016751, -77.10377149999999 -12.0017891, -77.1037913 -12.0020162, -77.10380960000001 -12.002226, -77.10391420000001 -12.0025579)",Avenida Santa Rosa,"['avenida', 'santa', 'rosa']","['santa', 'rosa']",f,both
6756,71069494.0,Santa María,residential,,,,,,,,,,,,,,,,,"LINESTRING (-77.05935770000001 -12.0221783, -77.05975599999999 -12.0222382, -77.0599062 -12.0222277, -77.0607474 -12.0217241, -77.06115079999999 -12.0214826, -77.0613546 -12.0212937, -77.0614834 -12.0211573, -77.06156919999999 -12.0209789, -77.06163119999999 -12.020564, -77.0617766 -12.0195906)",Santa María,"['santa', 'maria']","['santa', 'maria']",f,both
