nombre,total
coronel reynaldo vivanco,4
pablo arguedas,4
thomas edison,4
domingo cueto,4
pedro villalobos,4
simon noguera,4
santiago apostol,4
tomas catari,4
general mendiburu,4
juan fuente,4
saez peña,4
dante,4
maximiliano carranza,4
daniel carrion,4
teofilo castillo,4
cruz alpes,4
valentin espejo,4
braulio sancho davila,4
enrique barreda,4
jimenez agustin,4
claudio galeno,4
copernico,4
comandante juan g moore,4
francisco moreno,4
miguel seminario,4
manuel tovar,4
caceres,4
colonel f. bolognesi,4
jose dionisio anchorena,4
victor maurtua,4
alfredo salazar,4
juan aliaga,4
jose mateo garcia pumacahua,4
tiburcio rios,4
felipe pardo aliaga,4
franklin roosevelt,4
ruben dario,4
casimiro ulloa,4
diego quispe tito,4
22 julio,4
alberto secada,4
martin dulanto,4
jose gabriel aguilar segura,4
juan arona,4
jose domingo choquehuanca,4
santiago rodriguez,4
carlos cueto fernandini,4
coronel andres reyes,4
blasco nuñez vela,4
jose toribio polo,4
joaquin capelo,4
francisco orellana,4
virrey amat,4
juan peña,4
maximo velando,4
juan soto bermeo,4
mariano soto,4
manuel bonilla,4
inca garcilazo vega,4
francisco graña,4
maximo alvarado,4
pedro tejada,4
jose carmen verastegui,4
san gerardo,4
jose bernardo tagle,4
felix dibos,4
victor belaunde,4
santiago crespo,4
luis felipe casas,4
francisco aldao,4
alexander fleming,4
26 julio,4
isidro suarez,4
manuel polo jimenez,4
gregorio escobedo,4
andres ponce palacios,4
domingo casanova,4
eden,4
albino herrera,4
manuel fuente chavez,4
comandante pedro gutierrez,4
manuel wagner,4
benjamin franklin,4
federico fernandini,4
augusto salazar bondy,4
juan bielovucic cavalier,4
nicanor roca vergallo,4
franz schubert,4
eduardo dibos,4
bethoven,4
carlos bondy,4
san eugenio,4
jose antonio sucre,4
guillermo protzel,3
modigliani,3
juan santos atahualpa,3
rosendo leder,3
augusto aguirre soto,3
juan guerra,3
mariscal jose antonio sucre,3
jose maria vilchez,3
billinghurst,3
valdemar moser,3
jorge buckley,3
ignacio seminario,3
aurelio fernandez concha,3
melchor frisancho,3
francisco cornejo,3
ignacio,3
manuel medrano,3
esteban tuerten,3
padre francisco maria aramburu,3
eusebio galvez,3
juan davalos,3
buenaventura aguirre,3
juan velasco,3
san camilo,3
clemente palma,3
constantino bayle,3
mark twain,3
domingo sarmiento,3
julio bellido,3
cesar rodriguez,3
manuel vargas,3
jose a. lavalle,3
buenaventura rey,3
rosario norte,3
federico ugarte,3
felipe sassone,3
sipan,3
simon salguero,3
julio aguirre,3
felipe arias,3
padre sobreviela,3
san francisco solano,3
jose cossio,3
abelardo gamarra,3
san bernardo,3
enrique salazar barreto,3
octavio paz,3
oscar benavides (auxiliar),3
nicolas alcazar,3
eloy espinoza s.,3
michael fort,3
ignacio mariategui,3
felipe santiago salaverry,3
j. nepeña,3
faustino silva,3
celestino avila godoy,3
giuseppe verdi,3
juan ochoa,3
du petit thouars,3
san ambrosio,3
san diego a.,3
yupanqui,3
esteban salmon,3
nicola paganini,3
vicente morales duarez,3
ciclovia pedro miotta,3
capac llauto,3
auxiliar nicolas arriola,3
nicolas copernico,3
ayar manco,3
juan orus,3
jose manuel ubalde,3
hernando soto,3
jose antonio morales,3
tito conde mayta,3
contralmirante mariategui,3
santo eugenio,3
jose orengo,3
luis heysen,3
mariano baldarrago,3
pedro chamochumbe,3
kennedy,3
manuel portocarrero,3
fernando castrat,3
trinidad ceus,3
san joaquin,3
francisco moreyra riglos,3
carlos mellet vargas,3
san clemente,3
alberto samane davila,3
fray ramon rojas,3
juan parra riego,3
inte guillermo santana,3
juan mendizabal,3
manuel amat juniet,3
comandante fanning,3
general luis puerta,3
inca yupanqui,3
anibal diaz,3
emilio grec,3
oscar barrenechea,3
alfredo maldonado,3
claudio rebagliati,3
teniente diego ferre,3
luis galvani,3
johan sebastian bach,3
enrique arnaez,3
coronel victor maldonado begazo,3
marcelino castro gamboa,3
san geronimo,3
jose leguia melendez,3
don diego noche,3
luis dextre echaiz,3
juan antonio arrieta,3
general belgrano,3
julio rodriguez,3
francisco bejarano,3
edilberto ramos,3
callejon alejandro granda,3
cipriano rivas,3
villar,3
andres guzman,3
nicanor hernadez,3
lopez albujar,3
torre tagle,3
lopez solis,3
jose antonio lavalle,3
alberto ulloa,3
vittore carpaccio,3
alvarez calderon,3
elena fray pastor,3
j. sucre,3
eduardo ordoñez,3
manuel pardo,3
justo pastor davila,3
daniel portocarrero,3
juan benites,3
miguel unamuno,3
demetrio neyra,3
rafael caceres,3
isaac albeniz,3
caminos inca izquierda,3
hernan cortez,3
francisco cadenillas,3
federico gallese,3
alonso riquelme,3
cezzane,3
juan jose,3
fermin tanguis,3
pedro valle medina,3
pedro donofrio,3
carlos dellepiani,3
alfredo villa calderon,3
lizardo alzamora,3
francisco forcelledo,3
ricardo bentin,3
paseo bilinghurst,3
leonardo da vinci,3
miguel cervantes,3
picasso,3
nicanor cipriano rivas,3
manuel fuentes,3
elmer faucett (auxiliar),3
don bosco,3
manuel mesones muro,3
san aurelio,3
salida miguel grau,3
antonio alarcon,3
manuel elias bonnemaison,3
hector garcia ribeyro,3
juan gris,3
don augusto,3
cesar figueroa toledo,3
pedro conde,3
leon pinelo,3
tomas ramsey,3
nicolas poussin,3
manuel s. ugarte moscoso,3
cipriano nicanor rivas,3
salida javier prado,3
bronzino,3
28 julio (enrique meiggs),3
bernardo monteagudo,3
manuel seoane,3
rey mar,3
mariscal santiago salaverry,3
juan dios arteaga,3
carlos moore,3
luis m. sanchez cerro,3
mariano angulo,3
coronel pedro portillo,3
augusto durand,3
sargento antonio lishner,3
jorge dintilhac,3
francisco castillo,3
juan dellepiani,3
alberto campo,3
jose carmen saco,3
general jose granda,3
coronel buendia,3
general garcia garcia,3
luis pasteur,3
manuel telleria vicuna,3
pietro mascagni,3
jaime zubieta calderon,3
gaspar hernadez,3
mariscal oscar raul benavides,3
juan rivero,3
coronel odriozola,3
carlos soberon,3
alejandro villanueva,3
jose coronado,3
nicanor asin,3
juan francisco rivas,3
fermin santana aguirre,3
armando blondet,3
julio delgado neyra,3
molinos san miguel,3
jose antonio,3
juan alfaro,3
jose meliton rodriguez,3
carlos i,3
basilio ramirez peña,3
pascual andagoya,3
san bruno colonia,3
carlos bustamante,3
jose maria raygada,3
brigadier mateo pumacahua,3
roque saenz peña,3
jose salas,3
carlos ii,3
mar grau,3
enrique granados,3
giovanni lorenzo bernini,3
luis giribaldi,3
albert einstein,3
teniente razuri,3
genaro castro iglesias,3
carlos zavala,3
gran mariscal ramon castilla,3
rodolfo beltran,3
john f. kennedy,3
san diego,3
san augustin,3
santo toribio mogrovejo,3
general arenales,3
emilio althaus,3
elias chunga zapata,3
hernando luque,3
antonio portugal,3
san isidro - barranco run,3
alberto rojas,3
general simon bolivar,3
ramiro merino,3
manuel torre,3
belisario flores,3
san simon,3
santigao a mayolo,3
juan fuentes,3
rodolfo rutte,3
ignacio prado,3
gabriel bejar,3
cesareo chacaltana,3
paseo prado,3
san pedro choque,3
eduardo harbich,3
alfredo leon,3
san vicente paul,3
jose felix olcay,3
franciso bolognesi,3
miguel valcarcel,3
jorge muelle,3
ricardo treneman,3
andres vesalio,3
teniente pedro garezon,3
alemante jorge martin guise,3
lenin,3
san lazaro,3
san cipriano,3
comandante torres paz,3
enrique quintana,3
alberto jochamowitz,3
j. santos chocano,3
americo vespucio,3
san judas,3
pedro huilca,3
emilio castelar,3
luis felipe casas grieve,3
alejandro peralta,3
damaso i,3
german carrasco,2
rembrandt,2
enrique chocano,2
juan chavez tueros,2
juan manuel mar bernedo,2
viña picasso,2
fulgencio valdez,2
jose julio morales,2
lorenzo astrana,2
farabundo martin,2
san marcelo,2
rodolfo espinar,2
agustin jauregui,2
manuel beingolea,2
francisco vidal laos,2
manuel herrera pomareda,2
jose maria corbacho,2
pedro ii,2
san albino,2
juan guillermo moore,2
artillero julio felipe,2
hector marisca,2
pedro bocanegra,2
sergio caller,2
blas cerdena,2
juan manuel barrera,2
cesar bazalar montes,2
ignacio alvarez thomas,2
felipe yofre,2
javier o. valdia manrique,2
arturo armero,2
isaac recavarren,2
martin adan,2
santos chocano,2
manuel prado ugarte,2
inmaculada concepcion,2
monseñor jorge dintilhac,2
santiago compostela,2
reynaldo vivanco,2
b. san nicolas,2
mariano valdarrago,2
a nicolas ayllon,2
bartolome ferreyros,2
juan buendia,2
martin murua,2
luis banchero rossi,2
carlos gonzalez,2
edgardo tello,2
juan enrique valladares,2
coronel francisco bolognesi,2
posada marques,2
peña rivera,2
francisco garcia calderon,2
ismael pagador,2
abraham ballenas,2
6 julio,2
marcelino torres,2
j. arias araguez,2
manuel jaramillo,2
agustin antonete,2
manuel cuadros,2
filiberto romero,2
manuel cisneros,2
san jose olleros,2
isaac newton,2
galileo,2
manuel toribio ureta,2
andres abelino caceres,2
tomas guzman,2
adolfo martinez,2
san gonzalo,2
teniente cesar lopez rojas,2
luis arevalos,2
chimu capac,2
manuel garcia,2
bernardino rivadavia,2
fray francisco bejarano,2
maximiliano velarde,2
angel arata,2
manuel vidaurre,2
teniente carlos jimenez chavez,2
feliciano vega,2
miguel cervantes saavedra,2
fidel olivos escudero,2
general valdez,2
luis chiappe,2
pedro pizarro,2
enrique nerini,2
pablo patron,2
arturo garcia,2
juan pauli,2
miro quezada,2
luis godin,2
francisco leo quiroz,2
juan balcarza,2
juanb pablo a.h.,2
monseñor luis lituna,2
huamampoma ayala,2
enrique fermi,2
magno hernandez,2
juan moore,2
maria jose arce,2
hermanos catari,2
alberto arca parro,2
javier perez cuellar,2
conde villar don pardo,2
jose parodi,2
apostol santiago,2
mariana echevarria santiago,2
capitan manuel ferreyros,2
german amezaga,2
gonzalo pizarro,2
julio esteban,2
jesus fajardo,2
roger vidal,2
jesus paez,2
marcos palomino,2
mariano carranza,2
larrabure unanue,2
pablo bermudez,2
gregorio paredes,2
jose mariano arce,2
general francisco moreyra riglos,2
ernesto malinowski,2
juan antonio ribeyro,2
manuel nicolas corpancho,2
general maximo abril,2
pedro arbues,2
toribio ara,2
daniel alomias robles,2
almirante guisse,2
domingo millan,2
zoila caceres,2
luis cuba,2
manuel raygada,2
lino alarco,2
arturo ruiz,2
jose maria morelos,2
angel valenzuela,2
general artigas,2
jose flores,2
trinidad enriquez,2
virrey abascal,2
david matto,2
mateo aguilar,2
ernesto avila,2
corazon jesus,2
capitan ruiz diaz,2
juan roberto acevedo,2
teniente cesar rodriguez,2
bernardo cruz,2
mariscal mariano necochea,2
javier tomas vidal,2
juan valer sandoval,2
willian king,2
diego medina,2
martin oviedo,2
fray agustin zarate,2
alejo bezada,2
san rodolfo,2
pedro garay,2
ricardo herrera,2
galdos,2
miguel landa,2
alonso palomino,2
juan fumagalli,2
luis fumagalli,2
oscar arnulfo romero,2
san matias,2
gabriel ortega,2
antonio portugal prieto,2
javier heraud (calle 2),2
julio diaz diaz,2
miguel goyoneche gamio,2
pedro torres malarin,2
carlos martinez pinillos,2
jose quiñones gonzales,2
leonardo alvariño,2
santa mariana jesus,2
f. bolognesi,2
padre izaguirre,2
pedro ruiz gallo (calle 1),2
juan olaechea arnao,2
padre alonso abad,2
domingo astete moscoso,2
francisco herrera,2
cesar augusto velez,2
manuel pimentel jimenez,2
condestable jose celendon,2
mariscal toribio luziriaga,2
jose remy barua,2
san elias,2
manuel a. odria,2
mariscal toribio luzuriaga,2
mateo vera,2
augusto gonzales olaechea,2
ernesto gianoli,2
figueredo,2
antonio machado,2
andres caceres,2
san patricio,2
juan luis gonzaga,2
carmen alto,2
justo arias araguez,2
jose manuel quiroz,2
francisco wuambo,2
santo tomas aquino,2
gregorio vii,2
coronel marin,2
calderon barca,2
felipe pardo,2
inca ollantay,2
raul villaran pasquel,2
rosa silvestre,2
agustin lange,2
coronel manuel cano,2
pierre constantino,2
alfonso cobian,2
pedro solari,2
enrique rosa,2
enrique delucchi,2
don virgilio,2
antonio garland,2
enrique horme,2
ricardo olmedo,2
comandante aristides aljovin,2
ruben cruz,2
rosendo vidaure,2
adalberto campo,2
san alfonso,2
alejandro dioses,2
manuel orellano,2
teniente coronel g. escudero o.,2
19 julio,2
amaru yupanqui,2
leonidas laserre,2
santiago basurco,2
"comandante ""odonavan""",2
luis uceda,2
juan figari,2
general pershing,2
jorge galvez,2
manuel suarez pinzas,2
villena rey,2
felipe alva alva,2
toribio pacheco,2
manuel a. segura,2
henry revett,2
santa leonor,2
horacio zavallos,2
antonio ugarte,2
felipe zela,2
24 julio,2
eder guacamatos,2
jose baquijano carrillo,2
san federico,2
benedicto jimenez baca,2
republica salvador,2
domingo nieto,2
leopoldo arias,2
bruno terreros,2
bernabe cobos,2
sebastian luna,2
antonio reyes,2
teniente coronel p ruis gallo,2
coronel noriega,2
guillermo geraldino,2
mariano arredondo,2
general murillo,2
alfredo silva,2
giuseppe garibaldi,2
octavio bernal,2
jose maria,2
alejandro frendt,2
jose miguel rios,2
san hermenegildo,2
jose olavide,2
felipe pinglo,2
huaman poma ayala,2
carlos gil,2
francisco retes,2
jorge guillen,2
manuel gonzalez prada,2
emilio sandoval,2
elena pastor,2
fray cipriano calatayud,2
teniente luis reynafarje hurtado,2
ernesto guevara,2
julio morales,2
buenaventura palma parral,2
sergio morocho,2
domingo choquehuanca,2
rafael selaunde,2
m. grau,2
jose m. barrio nuevo,2
camino padre gianfranco iacopi ghilardi,2
octavio cavero,2
francisco asis,2
jose francisco arana,2
comandante montero rosas,2
enrique nereni,2
antonio guerra,2
jose manuel pereyra,2
raul rebagliatti,2
miguel carcamo,2
manuel arrisueño,2
miguel checa,2
manuel mendez,2
antonio pardo,2
oswaldo hercelles,2
capitan manuel boza,2
julian arce,2
carlos tenaud,2
carlos a. salaverry,2
jorge colque,2
jose francisco,2
diego almagro,2
juan manuel polar,2
arturo duray,2
miguel soto valle,2
justo amadeo vigil,2
juan torres higueras,2
carlos cabrera,2
pedro bertonelli,2
jorge,2
fernando lopez aldana,2
jose rivadeneyra,2
carpenter,2
jose payet,2
fernando aragon,2
borges,2
frederic remington,2
jesus vera fernandez,2
jorge castro harrinson,2
ciclovia joaquin madrid,2
manuel pezet,2
capitan jose quiñones,2
baltazar valle,2
miguel baca rossi,2
manuel guirior,2
gregorio marañon,2
domingo espinar,2
nicolas heres,2
philipp von leonard,2
nicolas arnes,2
diego cristobal,2
andres luna,2
leon fuente,2
alberto yabar,2
luis ezaine,2
adolfo jacobo quetelet,2
diego ferrer,2
camilo blas,2
francisco valle riestra,2
fray calixto,2
barton,2
vicente morales,2
angel morales,2
san hilarion,2
jose santos figueroa,2
claude monteverdi,2
toribio luziriaga,2
francisco paula quiroz,2
manuel aranguri,2
emilio harth terre,2
zoila aurora caceres,2
andres castelo,2
general odria,2
almirante lord nelson,2
augusto bolognesi,2
jose neyra,2
gerardo dianderas,2
ricardo grau,2
samuel velarde,2
joze pezet monel,2
san pedro nolasco,2
manuel pozo,2
abascal,2
mariscal william miller,2
jose pezet monet,2
felix valle,2
almirante manuel villavicencio,2
diderot,2
rodin,2
amador merino reyna,2
sebastian telleria,2
jorge marshal,2
john kennedy,2
carlos porras osores,2
crepi,2
juan alarcon,2
jose medina,2
juan rada,2
31 julio,2
erminio hernandez,2
general felipe santiago salaverry,2
cipriano ruiz,2
manuel gonzalez olaechea,2
capitan ep. eduardo m. gutierrez rondon,2
manuel augusto olaechea,2
juan solorzano,2
carlos alayzay roel,2
guillermo peratta,2
juan antonio pezet,2
comandante gustavo jimenez,2
david roca varea sur,2
vallejo,2
manuel gonzalez rosa,2
pedro salazar,2
catalino miranda,2
pedro heraud,2
luis deucker lavalle,2
fray diego barranco,2
